Investors,
Monashees,
Kaszek Ventures,
Mountain Nazca,
Redpoint eventures,
Bozano Investimentos,
Aurus,
Investo,
Alta Ventures Mexico,
ALLVP,
Angel Ventures,
IGNIA,
CRP Companhia de Participaçõe,
e.Bricks Ventures,
Confrapar,
Magma Partners,
CORFO,
SP Ventures,
DGF Investimentos,
Mercado Libre Fund,
Inseed Investimentos,
Criatec 2,
Astella Investimentos,
DILA Capital,
Velum Ventures,
FCP,
Scale Capital,
Alaya Capital,
Polymath,
Primary Ventures,
T2m Capital,
Omidyar Network,
Elevar Equity,
Quona Capital,
Gray Matters Capital,
Performa Investimentos,
Vox Capital,
Promotora Social México,
Pomona Impact,
MOV Investimentos