Investors,Empresa,Ftype
Mountain Nazca,VoxFeed,Seed
Bozano Investimentos,Ventrix,Seed
Criatec 2,Ventrix,Seed
SP Ventures,Ventrix,Seed
Confrapar,ChefsClub,Series A
e.Bricks Ventures,Me Salva!,Seed
e.Bricks Ventures,AppProva,Seed
Monashees,99,Series A
SP Ventures,NEXXTO,Series A
Bozano Investimentos,HTP Solution,Seed
Criatec 2,HTP Solution,Seed
Velum Ventures,Asegurate Facil,Seed
Angel Ventures,Venzee Technologies Inc.,Convertible Note
Astella Investimentos,Itaro,Series A
Inseed Investimentos,Tbit,Seed
DGF Investimentos,Mosyle,Seed
Criatec 2,bLive,Seed
Investo,Rappi,Seed
Investo,Redspread,Seed
CRP Companhia de Participaçõe,Carobhouse,Series A
CRP Companhia de Participaçõe,ALavadeira,Series A
Mountain Nazca,nubelo,Venture - Series Unknown
Bozano Investimentos,Siteware,Seed
Criatec 2,Siteware,Seed
Alta Ventures Mexico,Nuve,Series A
Aurus,Andes Biotechnologies,Venture - Series Unknown
Monashees,First Opinion,Series A
e.Bricks Ventures,Infracommerce,Venture - Series Unknown
DGF Investimentos,Concil,Series A
SP Ventures,Concil,Series A
ALLVP,Voy al Doc,Seed
Angel Ventures,Voy al Doc,Seed
e.Bricks Ventures,Prontmed,Seed
Aurus,Capitalizarme,Venture - Series Unknown
Mountain Nazca,Capitalizarme,Venture - Series Unknown
Mountain Nazca,Club Point,Venture - Series Unknown
Angel Ventures,Rocket.La,Seed
T2M Capital,Rocket.La,Seed
Redpoint eventures,Grupo Xango,Series B
Angel Ventures,IguanaFix,Seed
Astella Investimentos,Sophie & Juliete,Series B
Redpoint eventures,Sophie & Juliete,Series B
Bozano Investimentos,Dot Legend,Seed
Criatec 2,Dot Legend,Seed
Angel Ventures,Clip,Series A
ALLVP,Nubity,Seed
Mountain Nazca,My Sports Box,Seed
Alta Ventures Mexico,Converus,Venture - Series Unknown
ALLVP,Médica Santa Carmen,Series A
Alta Ventures Mexico,Wanderu,Series A
Investo,Pocket Supernova,Seed
Velum Ventures,OFI,Venture - Series Unknown
Kaszek Ventures,NubeliU,Seed
Redpoint eventures,PSafe Technology,Series C
Kaszek Ventures,Love Mondays,Seed
Redpoint eventures,Carreira Beauty,Seed
Redpoint eventures,BovControl,Seed
Velum Ventures,FLUVIP,Venture - Series Unknown
Angel Ventures,clickOnero,Series A
Mountain Nazca,OPI,Seed
Alta Ventures Mexico,Screenie,Convertible Note
SP Ventures,Inprenha,Series A
Investo,Paid,Seed
Alta Ventures Mexico,Technisys,Series B
Kaszek Ventures,Technisys,Series B
Inseed Investimentos,Lamiecco,Series A
Monashees,Elo7,Series C
Monashees,Runrun,Series A
Velum Ventures,bodaplanes,Seed
Monashees,Medicinia,Series A
Redpoint eventures,Medicinia,Series A
Mercado Libre Fund,Plugg.To,Convertible Note
Mercado Libre Fund,Catycan,Convertible Note
Redpoint eventures,Nibo,Series A
Kaszek Ventures,Nubank,Series A
Aurus,BuscaLibre,Venture - Series Unknown
Angel Ventures,Kueski,Seed
ALLVP,Cuídate,Series A
Confrapar,BlueOpex,Series A
e.Bricks Ventures,Levee,Seed
Monashees,Levee,Seed
Mountain Nazca,Seenapse,Seed
Mountain Nazca,Miroculus,Seed
Magma Partners,Reqlut,Seed
Confrapar,Nutrebem,Convertible Note
Mountain Nazca,TappTime,Seed
Mountain Nazca,El Telon,Seed
Mountain Nazca,Poliglota,Seed
Astella Investimentos,Itaro,Series A
Aurus,Kinostics,Venture - Series Unknown
Aurus,Levita Magnetics,Venture - Series Unknown
Investo,Hostspot,Seed
SP Ventures,Promip,Series A
Monashees,Loggi,Series A
Velum Ventures,Ciudad de Mascotas,Seed
Alta Ventures Mexico,Kubo.financiero,Seed
Velum Ventures,Cocina Mejor,Seed
Velum Ventures,Flores Y Mas,Seed
Alta Ventures Mexico,VidAngel,Seed
Alta Ventures Mexico,Clip,Convertible Note
DGF Investimentos,ADTsys Cloud Computing,Series A
DILA Capital,Shoe Lovers,Seed
e.Bricks Ventures,ZoeMob,Convertible Note
Magma Partners,Edoome,Seed
Magma Partners,Pricing Compass,Seed
Aurus,EchoPixel,Venture - Series Unknown
Mountain Nazca,INTANGIBLE INVESTMENTS,Seed
Investo,FutureLeague,Seed
Mercado Libre Fund,Real Trends,Convertible Note
Redpoint eventures,Minuto Seguros,Series B
Astella Investimentos,Omiexperience,Angel
Alta Ventures Mexico,MFM - Master Financial Management,Venture - Series Unknown
CRP Companhia de Participaçõe,Aquiris,Series A
Bozano Investimentos,QMagico,Series A
Alta Ventures Mexico,Nuve,Debt Financing
Aurus,ClickMagic,Venture - Series Unknown
e.Bricks Ventures,Infracommerce,Convertible Note
Kaszek Ventures,Grupo Netshoes,Venture - Series Unknown
e.Bricks Ventures,GuiaBolso,Series A
Kaszek Ventures,GuiaBolso,Series A
Astella Investimentos,Clicksign,Seed
Redpoint eventures,Clicksign,Seed
Aurus,ClubVenta,Venture - Series Unknown
Angel Ventures,Tu Canton,Angel
DILA Capital,Tu Canton,Angel
Monashees,Bidu,Series B
Aurus,Trigemina,Venture - Series Unknown
Alta Ventures Mexico,Ondore,Convertible Note
Alta Ventures Mexico,Space Monkey,Venture - Series Unknown
Magma Partners,ReStudio,Seed
Mercado Libre Fund,EmporioCommerce,Seed
Mercado Libre Fund,Nubimetrics,Convertible Note
ALLVP,Carrot,Series A
Investo,Cambly,Seed
Kaszek Ventures,GOintegro,Series B
Alta Ventures Mexico,Bebitos,Venture - Series Unknown
Aurus,Andes Biotechnologies,Venture - Series Unknown
Angel Ventures,Tu Canton,Seed
DILA Capital,Tu Canton,Seed
Angel Ventures,Intelimétrica,Seed
Mountain Nazca,Seahorse,Seed
Angel Ventures,Rocket.La,Convertible Note
T2M Capital,Rocket.La,Convertible Note
DGF Investimentos,Ingresse,Series A
e.Bricks Ventures,Ingresse,Series A
Redpoint eventures,Memed,Series A
Mountain Nazca,Talent Process,Seed
Alta Ventures Mexico,Space Monkey,Venture - Series Unknown
Astella Investimentos,Sophie & Juliete,Series B
Redpoint eventures,Sophie & Juliete,Series B
Alta Ventures Mexico,Oja.la,Seed
Angel Ventures,Oja.la,Seed
Investo,Oja.la,Seed
Alta Ventures Mexico,VidAngel,Seed
Mountain Nazca,Cranberry Chic,Seed
Mountain Nazca,nubelo,Seed
Alta Ventures Mexico,Energryn,Convertible Note
Mercado Libre Fund,Glamit,Venture - Series Unknown
Mountain Nazca,Glamit,Venture - Series Unknown
Alta Ventures Mexico,MFM - Master Financial Management,Venture - Series Unknown
Redpoint eventures,Nibo,Series A
Mountain Nazca,Nubleer Media,Seed
ALLVP,Gaudena,Series A
ALLVP,Petsy,Venture - Series Unknown
DILA Capital,Petsy,Venture - Series Unknown
Mountain Nazca,Petsy,Venture - Series Unknown
Redpoint eventures,PSafe Technology,Series C
Mountain Nazca,My Sports Box,Seed
Mountain Nazca,Trendyta,Seed
Aurus,Algenis,Venture - Series Unknown
Monashees,ContaAzul,Series B
Aurus,EchoPixel,Seed
Alta Ventures Mexico,Clip,Seed
Angel Ventures,Clip,Seed
Alta Ventures Mexico,Shopperception Inc,Seed
Mercado Libre Fund,Colppy,Convertible Note
ALLVP,Petsy,Series A
DILA Capital,Petsy,Series A
ALLVP,Viajamex,Seed
Alta Ventures Mexico,Ondore,Seed
Alta Ventures Mexico,Screenie,Seed
Investo,Ripio,Seed
Confrapar,Izzui,Series A
Astella Investimentos,Smartbill Assinaturas,Seed
Angel Ventures,Meridia,Seed
Inseed Investimentos,EcoSynth,Series A
Investo,cottonTracks,Seed
Redpoint eventures,FormaFina,Seed
Alta Ventures Mexico,inmobly,Seed
Alta Ventures Mexico,Oja.la,Seed
Kaszek Ventures,ComparaOnline,Series B
e.Bricks Ventures,Grupo 4vets,Debt Financing
Kaszek Ventures,Restorando,Series B
Confrapar,JobConvo,Seed
Alta Ventures Mexico,Wanderu,Seed
Aurus,Happyshop,Venture - Series Unknown
ALLVP,Prestadero,Seed
Aurus,Levita Magnetics,Venture - Series Unknown
Kaszek Ventures,Nubank,Seed
Monashees,99,Seed
Redpoint eventures,Medicinia,Series A
Kaszek Ventures,Lulu,Venture - Series Unknown
Alta Ventures Mexico,Clip,Seed
Angel Ventures,Clip,Seed
DGF Investimentos,RD Station,Series A
Angel Ventures,clickOnero,Seed
DILA Capital,clickOnero,Seed
Confrapar,Ilusis,Series A
ALLVP,Cuídate,Seed
e.Bricks Ventures,GuiaBolso,Seed
e.Bricks Ventures,eÓtica,Series A
Kaszek Ventures,Eventioz,Venture - Series Unknown
Monashees,First Opinion,Seed
Aurus,ClickMagic,Venture - Series Unknown
e.Bricks Ventures,Canal da Peça S.A.,Seed
ALLVP,Médica Santa Carmen,Series A
ALLVP,Voy al Doc,Seed
Redpoint eventures,ViajaNet,Series C
Kaszek Ventures,Beleza na Web,Series B
Aurus,PLx Pharma,Venture - Series Unknown
Monashees,EduK,Series A
Confrapar,Prova Facil,Series B
ALLVP,UHMA,Seed
ALLVP,Salud Fácil,Seed
Redpoint eventures,Minuto Seguros,Series A
Bozano Investimentos,Laticinios Sao Vincente,Private Equity
Aurus,MiniClinic,Venture - Series Unknown
Kaszek Ventures,GetNinjas,Series A
Monashees,GetNinjas,Series A
Redpoint eventures,Minutrade,Series A
DGF Investimentos,Gesto Saúde e Tecnologia,Venture - Series Unknown
Monashees,Jusbrasil,Series A
Alta Ventures Mexico,iDealResponse,Venture - Series Unknown
Confrapar,Nutrebem,Series A
Alta Ventures Mexico,Ondore,Seed
Alta Ventures Mexico,Converus,Seed
Redpoint eventures,Startupi,Seed
Angel Ventures,Clip,Seed
Monashees,olook,Series B
e.Bricks Ventures,Juv Acessórios,Seed
Alta Ventures Mexico,Bebitos,Seed
e.Bricks Ventures,YContent,Seed
Kaszek Ventures,SaferTaxi,Series B
Redpoint eventures,Passei Direto,Series A
IGNIA,Procesa Chiapas,Series C
CORFO,Deenty,Seed
Magma Partners,Deenty,Seed
Astella Investimentos,Smartbill Assinaturas,Seed
Monashees,ContaAzul,Series A
Kaszek Ventures,Kekanto,Series B
Monashees,Runrun,Series A
ALLVP,UHMA,Seed
Mercado Libre Fund,Glamit,Venture - Series Unknown
Mountain Nazca,Glamit,Venture - Series Unknown
Kaszek Ventures,VivaReal,Series B
Monashees,VivaReal,Series B
ALLVP,Gaudena,Series A
Confrapar,HelpSaúde,Series B
e.Bricks Ventures,ZoeMob,Seed
Monashees,Bidu,Series A
Alta Ventures Mexico,Gazelles Growth Institute,Seed
Alta Ventures Mexico,inmobly,Seed
Investo,String Publisher,Seed
Aurus,Algenis,Venture - Series Unknown
Investo,InstaDM,Seed
Alta Ventures Mexico,Convert Insights,Convertible Note
Astella Investimentos,Mais.im,Angel
ALLVP,Aventones,Series A
ALLVP,Gaudena,Venture - Series Unknown
ALLVP,Click,Seed
ALLVP,Cuídate,Seed
Kaszek Ventures,GOintegro,Series A
ALLVP,Carrot,Seed
Alta Ventures Mexico,Ondore,Seed
Monashees,Bidu,Seed
ALLVP,Gaudena,Series A
Kaszek Ventures,Oppa,Venture - Series Unknown
Monashees,Oppa,Venture - Series Unknown
Investo,Moshi,Seed
Redpoint eventures,Sophie & Juliete,Series A
e.Bricks Ventures,Rock Content,Seed
Aurus,EchoPixel,Venture - Series Unknown
Alta Ventures Mexico,MURAL,Seed
Aurus,ClubVenta,Venture - Series Unknown
Aurus,Splitcast Technology,Venture - Series Unknown
Aurus,Capitalizarme,Venture - Series Unknown
Kaszek Ventures,Pitzi,Series A
Alta Ventures Mexico,CitiVox,Debt Financing
Monashees,olook,Series A
Astella Investimentos,LojasKD,Series B
CRP Companhia de Participaçõe,Tecnoblu,Venture - Series Unknown
Confrapar,Oktagon Games,Series A
Kaszek Ventures,eÓtica,Series A
Aurus,Modyo,Venture - Series Unknown
Aurus,BuscaLibre,Venture - Series Unknown
Aurus,ClubVenta,Venture - Series Unknown
ALLVP,Carrot,Seed
Kaszek Ventures,MadeiraMadeira,Series A
Monashees,MadeiraMadeira,Series A
Kaszek Ventures,ComparaOnline,Series A
Aurus,Andes Biotechnologies,Venture - Series Unknown
Redpoint eventures,Minuto Seguros,Series A
Redpoint eventures,Sophie & Juliete,Series A
Bozano Investimentos,Anima Educação,Private Equity
Monashees,Elo7,Series B
Alta Ventures Mexico,MURAL,Seed
Kaszek Ventures,Restorando,Series A
Aurus,Taggify,Series A
Confrapar,BemDireto,Series A
DGF Investimentos,Ingresse,Seed
Aurus,Happyshop,Series B
Confrapar,Fisgo,Series A
Astella Investimentos,Ciatech,Series B
Redpoint eventures,Grupo Xango,Series B
Aurus,Levita Magnetics,Venture - Series Unknown
Kaszek Ventures,VivaReal,Series A
Monashees,VivaReal,Series A
Kaszek Ventures,HelpSaúde,Series A
Bozano Investimentos,Estapar,Private Equity
Confrapar,ePrimeCare,Series B
Alta Ventures Mexico,MFM - Master Financial Management,Seed
CRP Companhia de Participaçõe,Medabil,Private Equity
Alta Ventures Mexico,Convert Insights,Seed
CRP Companhia de Participaçõe,Elo,Private Equity
Kaszek Ventures,Kekanto,Series A
Kaszek Ventures,Open English,Series B
Alta Ventures Mexico,Juxta Labs,Seed
IGNIA,Provive,Venture - Series Unknown
Monashees,Baby,Series A
Confrapar,Prova Facil,Series A
Monashees,Elo7,Series A
Aurus,PLx Pharma,Venture - Series Unknown
IGNIA,Ver de Verdad,Series B
Kaszek Ventures,SaferTaxi,Series A
Aurus,ClickMagic,Venture - Series Unknown
Kaszek Ventures,Eventioz,Series A
Aurus,Bio Architecture Lab,Venture - Series Unknown
Aurus,Hadza,Venture - Series Unknown
IGNIA,Lumbrera,Series B
Omidyar Network,Lumbrera,Series B
Kaszek Ventures,GetNinjas,Seed
Monashees,GetNinjas,Seed
Monashees,olook,Seed
Kaszek Ventures,ZupCat,Venture - Series Unknown
Kaszek Ventures,PedidosYa,Seed
Aurus,Happyshop,Series A
Astella Investimentos,Dualtec,Series A
CRP Companhia de Participaçõe,Librelato Implementos Rodoviários,Private Equity
Kaszek Ventures,PetLove,Series A
Monashees,PetLove,Series A
Aurus,Alset Global,Venture - Series Unknown
Monashees,Buzzero,Series A
Alta Ventures Mexico,Rhomobile,Venture - Series Unknown
Kaszek Ventures,OQVestir,Series A
Aurus,Modyo,Venture - Series Unknown
Aurus,Junar,Venture - Series Unknown
Monashees,Mind Lab,Series B
SP Ventures,Geofusion,Series A
IGNIA,Agua Natural,Venture - Series Unknown
Primary Ventures,K Health,Series B
Alaya Capital Partners,Topic Flower SA,Seed
Alaya Capital Partners,Burn to Give,Seed
Alaya Capital Partners,Kilimo,Seed
FCP Emprendimiento e Innovación SP,ERCO,Debt Financing
Polymath Ventures,Autolab,Series A
Polymath Ventures,Autolab,Pre-Seed
FCP Emprendimiento e Innovación SP,Leal,Series A
Polymath Ventures,Aflore,Pre-Seed
Polymath Ventures,Elenas,Pre-Seed
Polymath Ventures,Táximo,Pre-Seed
Scale Capital,Zyght,Seed
Scale Capital,u-planner,Series A
Alaya Capital Partners,Rocketpin,Seed
Polymath Ventures,VincuVentas,Seed
Primary Ventures,CredSimple,Debt Financing
Alaya Capital Partners,Quiena,Seed
Primary Ventures,Reonomy,Venture - Series Unknown
FCP Emprendimiento e Innovación SP,Triciclos,Venture - Series Unknown
MOV Investimentos,Triciclos,Venture - Series Unknown
Primary Venture Partners,K Health,Seed
Primary Ventures,K Health,Seed
T2M Capital,Mycroft,Seed
Polymath Ventures,VincuVentas,Pre-Seed
FCP Emprendimiento e Innovación SP,Kingo,Series B
FCP Emprendimiento e Innovación SP,Choice Holdings,Series D
FCP Emprendimiento e Innovación SP,Choice Holdings,Series D
FCP Emprendimiento e Innovación SP,Choice Holdings,Series C
Scale Capital,FRACTTAL,Series A
FCP Emprendimiento e Innovación SP,PlayVox,Series A
FCP Emprendimiento e Innovación SP,Reciclados Industriales,Series A
FCP Emprendimiento e Innovación SP,Tekpea,Convertible Note
Primary Ventures,Social Change Rewards,Venture - Series Unknown
Alaya Capital Partners,Welii,Seed
FCP Emprendimiento e Innovación SP,ERCO,Series A
FCP Emprendimiento e Innovación SP,OutSmart Power Systems,Convertible Note
Scale Capital,Pick1,Seed
Primary Ventures,Maple,Series A
Alaya Capital Partners,123Seguro,Seed
Mercado Libre Fund,123Seguro,Seed
T2M Capital,Granos Andinos de Colombia,Seed
Primary Ventures,Puerto Finanzas,Seed
T2M Capital,Soul Tree Wine,Venture - Series Unknown
Alaya Capital Partners,Chattigo,Seed
FCP Emprendimiento e Innovación SP,Telemetrik,Series A
Angel Ventures,Rocket.La,Seed
T2M Capital,Rocket.La,Seed
T2M Capital,Pi Labs,Venture - Series Unknown
FCP Emprendimiento e Innovación SP,Tekpea,Series A
Scale Capital,46 Degrees Technologies,Seed
Scale Capital,Mediastream,Series A
T2M Capital,Senseta,Venture - Series Unknown
Scale Capital,Inbenta,Series A
Angel Ventures,Rocket.La,Convertible Note
T2M Capital,Rocket.La,Convertible Note
e.Bricks Ventures,Contabilizei,Series B
Kaszek Ventures,Contabilizei,Series B
Quona Capital,Contabilizei,Series B
Mountain Nazca,albo,Series A
Omidyar Network,albo,Series A
DILA Capital,Kinedu,Series A
IGNIA,Kinedu,Series A
Promotora Social México,Kinedu,Series A
Omidyar Network,Agenda Edu,Seed
Monashees,BizCapital,Series A
Quona Capital,BizCapital,Series A
Elevar Equity,Airtm,Seed
IGNIA,Airtm,Seed
Elevar Equity,Afluenta,Series B
IGNIA,Afluenta,Series B
Kaszek Ventures,Konfio,Series C
Quona Capital,Konfio,Series C
Monashees,Neon,Series A
Omidyar Network,Neon,Series A
Quona Capital,Neon,Series A
Elevar Equity,Grupo Vi-Da,Series A
Omidyar Network,Grupo Vi-Da,Series A
IGNIA,Lumbrera,Series A
Omidyar Network,Lumbrera,Series A
Elevar Equity,Afluenta,Series C
Mercado Libre Fund,Mandaê,Series B
Monashees,Mandaê,Series B
Performa Investimentos,Mandaê,Series B
Omidyar Network,GuiaBolso,Series D
FCP Emprendimiento e Innovación SP,Triciclos,Venture - Series Unknown
MOV Investimentos,Triciclos,Venture - Series Unknown
e.Bricks Ventures,Editora Sanar,Series A
Vox Capital,Editora Sanar,Series A
Kaszek Ventures,Creditas,Series C
Quona Capital,Creditas,Series C
Vox Capital,Avante,Series A
Kaszek Ventures,Konfio,Series A
Quona Capital,Konfio,Series A
IGNIA,Lumbrera,Series B
Omidyar Network,Lumbrera,Series B
Quona Capital,InvoiNet,Venture - Series Unknown
Performa Investimentos,GlobalYeast,Series A
Quona Capital,InvoiNet,Venture - Series Unknown
Performa Investimentos,Enalta,Private Equity
Vox Capital,ToLife,Series A
Kaszek Ventures,Creditas,Series A
Quona Capital,Creditas,Series A
Redpoint eventures,Creditas,Series A
DILA Capital,Kinedu,Convertible Note
Promotora Social México,Kinedu,Convertible Note
Kaszek Ventures,Konfio,Series B
Quona Capital,Konfio,Series B
Elevar Equity,Afluenta,Series B
Pomona Impact,Billpocket,Venture - Series Unknown
Omidyar Network,Colab.re,Series A
Quona Capital,Creditas,Series A
Redpoint eventures,Creditas,Series A
Performa Investimentos,eStoks,Seed
Performa Investimentos,ProRadis,Series A
Vox Capital,ProRadis,Series A
Performa Investimentos,BoaConsulta,Seed
Performa Investimentos,Hometeka,Seed
Quona Capital,Exten,Series A
e.Bricks Ventures,GuiaBolso,Series B
Kaszek Ventures,GuiaBolso,Series B
Omidyar Network,GuiaBolso,Series B
Kaszek Ventures,Creditas,Series B
Quona Capital,Creditas,Series B
Redpoint eventures,Creditas,Series B
Pomona Impact,ePesos,Venture - Series Unknown
Omidyar Network,Geekie,Series B
Elevar Equity,Tienda Nube,Series B
IGNIA,Tienda Nube,Series B
Kaszek Ventures,Tienda Nube,Series B
Omidyar Network,Suyo,Venture - Series Unknown
Elevar Equity,Credex,Venture - Series Unknown
Performa Investimentos,Contech,Convertible Note
Kaszek Ventures,Digital House,Series B
Omidyar Network,Digital House,Series B
ALLVP,Médica Santa Carmen,Series A
Promotora Social México,Médica Santa Carmen,Series A
Kaszek Ventures,Dr.Consulta,Series C
Omidyar Network,Dr.Consulta,Series C
Vox Capital,Avante,Series C
Performa Investimento,Intelipost,Seed
Alaya Capital Partners,MyHotel.com.es,Seed
